day,group,price
2024-03-16,medium,516.19
2024-03-17,medium,410.49
2024-03-18,low,390.61
2024-03-19,low,354.65
2024-03-20,low,390.61
2024-03-21,medium,410.49
2024-03-22,medium,477.29
2024-03-23,medium,498.93
2024-03-24,medium,453.12
2024-03-25,low,390.61
2024-03-26,low,354.65
2024-03-27,low,354.55
2024-03-28,medium,410.61
2024-03-29,medium,446.22
2024-03-30,medium,430.28
2024-03-31,medium,410.61
2024-04-01,low,328.99
2024-04-02,low,390.61
2024-04-03,low,390.61
2024-04-04,medium,406.71
2024-04-05,medium,411.11
2024-04-06,low,402.99
2024-04-07,low,355.09
2024-04-08,low,390.3
2024-04-09,low,390.61
2024-04-10,low,390.61
2024-04-11,medium,410.49
2024-04-12,medium,422.0
2024-04-13,low,404.35
2024-04-14,medium,461.09
2024-04-15,low,392.3
2024-04-16,low,390.61
2024-04-17,low,390.49
2024-04-18,medium,461.57
2024-04-19,medium,430.28
2024-04-20,medium,432.28
2024-04-21,low,368.81
2024-04-22,low,354.38
2024-04-23,low,389.09
2024-04-24,low,370.6
2024-04-25,low,375.79
2024-04-26,low,354.55
2024-04-27,low,402.99
2024-04-28,low,354.16
2024-04-30,medium,409.05
2024-05-01,low,390.64
2024-05-02,medium,461.57
2024-05-03,medium,430.61
2024-05-04,low,374.1
2024-05-05,low,393.8
2024-05-06,low,368.99
2024-05-07,low,397.99
2024-05-08,medium,421.78
2024-05-09,medium,451.12
2024-05-10,medium,479.1
2024-05-11,medium,477.29
2024-05-12,medium,452.13
2024-05-13,low,369.59
2024-05-14,medium,469.66
2024-05-15,medium,528.74
2024-05-16,medium,477.43
2024-05-17,medium,474.71
2024-05-18,medium,476.18
2024-05-19,high,653.18
2024-05-20,medium,476.13
2024-05-21,medium,623.99
2024-05-22,medium,553.89
2024-05-23,high,739.39
2024-05-24,medium,528.89
2024-05-25,medium,492.13
2024-05-26,medium,470.39
2024-05-27,medium,478.76
2024-05-28,medium,574.39
2024-05-29,medium,594.7
2024-05-30,high,663.99
2024-05-31,high,758.01
2024-06-01,high,742.99
2024-06-02,medium,516.14
2024-06-03,medium,565.15
2024-06-04,medium,597.17
2024-06-05,medium,582.25
2024-06-06,medium,611.99
2024-06-07,medium,592.7
2024-06-08,medium,626.68
2024-06-09,medium,613.69
2024-06-10,medium,562.7
2024-06-11,medium,610.68
2024-06-12,medium,593.8
2024-06-13,high,636.17
2024-06-14,high,702.2
2024-06-15,medium,582.16
2024-06-16,medium,592.8
2024-06-17,medium,566.99
2024-06-18,medium,611.7
2024-06-19,high,635.99
2024-06-20,medium,607.07
2024-06-21,medium,624.17
2024-06-22,high,636.68
2024-06-23,high,663.18
2024-06-24,medium,603.13
2024-06-25,high,636.17
2024-06-26,high,697.19
2024-06-27,high,699.19
2024-06-28,medium,525.09
2024-06-29,high,750.21
2024-06-30,high,685.18
2024-07-01,high,822.61
2024-07-02,high,874.85
2024-07-03,high,808.98
2024-07-04,high,685.18
2024-07-06,high,797.21
2024-07-07,high,755.22
2024-07-08,high,673.19
2024-07-09,medium,576.71
2024-07-10,medium,610.17
2024-07-12,high,748.93
2024-07-13,high,687.09
2024-07-15,high,755.21
2024-07-16,medium,633.18
2024-07-17,medium,613.99
2024-07-19,high,686.66
2024-07-20,high,674.79
2024-07-21,medium,625.13
2024-07-22,medium,575.99
2024-07-23,high,635.97
2024-07-25,high,633.98
2024-07-26,high,671.67
2024-07-27,high,676.41
2024-07-28,high,681.32
2024-07-29,medium,566.16
2024-07-31,medium,614.21
2024-08-01,medium,628.19
2024-08-02,medium,588.16
2024-08-03,medium,598.17
2024-08-05,medium,571.58
2024-08-06,medium,435.98
2024-08-07,medium,499.75
2024-08-08,medium,494.99
2024-08-09,medium,497.13
2024-08-10,medium,497.13
2024-08-11,low,355.09
2024-08-12,medium,516.04
2024-08-13,medium,442.11
2024-08-14,medium,503.13
2024-08-17,medium,516.04
2024-08-18,low,353.31
2024-08-19,low,403.6
2024-08-20,medium,448.85
2024-08-22,medium,516.04
2024-08-23,low,402.64
2024-08-25,low,353.31
2024-08-26,low,404.55
2024-08-28,medium,498.0
2024-08-29,medium,434.11
2024-08-31,medium,553.97
2024-09-04,medium,406.39
2024-09-05,medium,410.03
2024-09-08,low,354.82
2024-09-09,low,404.67
2024-09-12,medium,460.21
2024-09-13,low,402.64
2024-09-19,low,402.99
2024-10-06,low,354.16
2024-10-27,low,354.82
2024-11-01,low,404.67
2024-11-17,low,354.16
2024-11-28,medium,472.76
2024-12-05,medium,428.99
2024-12-06,high,706.46
2024-12-10,medium,624.16
2024-12-11,medium,551.15
2024-12-12,high,862.87
2024-12-13,high,813.62
2024-12-14,high,769.48
2024-12-15,high,808.09
2024-12-16,high,753.22
2024-12-17,high,684.75
2024-12-18,high,1138.04
2024-12-19,high,912.17
2024-12-20,high,701.08
2024-12-22,high,780.28
2024-12-23,high,755.21
2024-12-24,high,678.19
2024-12-25,high,758.62
2025-01-01,medium,633.18
2025-01-03,high,703.77
2025-02-28,medium,429.79
